*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3.1b
*Date=16:05:20
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
157;;;82.9945;-83.6424;0;Bottom;Copper Fill417
158;;;0.9652;-56.7819;0;Bottom;Copper Fill407
159;;;14.3764;-61.7984;0;Bottom;Copper Fill23
160;;;21.1328;-21.8188;0;Bottom;Copper Fill328
161;;0805 [SMD];6.76962;-42.4602;180;Top;LED6
162;;;27.1145;-7.417;0;Bottom;Copper Fill400
163;;;60.833;-7.1884;0;Bottom;Copper Fill350
164;;;89.4969;-42.4436;0;Bottom;Copper Fill444
165;;;70.7644;-7.9123;0;Bottom;Copper Fill424
166;;;43.9293;-35.357;0;Bottom;Copper Fill374
167;;;43.9896;-60.2403;0;Bottom;Via98
168;;;2.3749;-81.1024;0;Bottom;Copper Fill139
169;;;77.2541;-93.8024;0;Bottom;Copper Fill161
170;;;91.8845;-20.117;0;Bottom;Copper Fill388
171;;;84.2772;-49.8096;0;Bottom;Copper Fill28
172;;;82.0928;-28.4228;0;Bottom;Copper Fill317
173;;;77.3271;-93.2603;0;Bottom;Via196
174;;;59.0169;-19.7614;0;Bottom;Copper Fill432
175;;;61.6204;-30.6326;0;Bottom;Copper Fill310
176;;;72.9488;-64.7575;0;Bottom;Copper Fill175
177;1k;0805 [SMD];53.8322;-72.0602;90;Top;R58
178;;;62.9793;-23.7492;0;Bottom;Copper Fill479
179;;;94.7928;-48.4888;0;Bottom;Copper Fill37
180;;;68.0593;-18.0596;0;Bottom;Copper Fill474
181;;;94.7928;-43.4088;0;Bottom;Copper Fill292
182;;THT;9.0647;-6.26525;0;Bottom;J63
183;;;60.7441;-86.5126;0;Bottom;Copper Fill534
184;;;21.1328;-9.1188;0;Bottom;Copper Fill99
185;;;71.9328;-78.7656;0;Bottom;Copper Fill4
186;;;70.5993;-29.007;0;Bottom;Copper Fill364
