*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3.1b
*Date=23:32:57
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
155;;;64.3128;-28.3466;0;Bottom;Copper Fill56
156;100k;0805 [SMD];88.5122;-41.8252;180;Top;R36
157;;;73.7997;-11.7096;0;Bottom;Copper Fill432
158;;;41.3766;-65.9767;0;Bottom;Copper Fill466
159;;;73.1393;-23.7492;0;Bottom;Copper Fill490
160;;0805 [SMD];36.2698;-45.3178;0;Top;LED4
161;;;90.6018;-11.2016;0;Bottom;Copper Fill320
162;;;67.4624;-8.7886;0;Bottom;Copper Fill324
163;;;95.0341;-16.0022;0;Bottom;Copper Fill113
164;;;3.34982;-52.9379;0;Bottom;Hole3
165;;;21.844;-59.0171;0;Bottom;Copper Fill131
166;;;63.4873;-19.7614;0;Bottom;Copper Fill451
167;;;53.8734;-32.6138;0;Bottom;Copper Fill294
168;2.49k;0805 [SMD];58.9847;-74.2102;0;Top;R61
169;;;83.8454;-18.2882;0;Bottom;Copper Fill311
170;;THT;11.6047;-16.4253;0;Bottom;J169
171;;;59.4741;-65.8624;0;Bottom;Copper Fill96
172;;0805 [SMD];6.76962;-42.4602;180;Top;LED6
173;0.1µF;0805 [SMD, multilayer];66.8497;-86.6652;90;Top;C13
174;;;94.7928;-56.1088;0;Bottom;Copper Fill20
175;;;88.6841;-91.9482;0;Bottom;Copper Fill208
176;;;54.6354;-6.5534;0;Bottom;Copper Fill82
177;;;79.0702;-76.5812;0;Bottom;Copper Fill234
178;;;28.0797;-45.8472;0;Bottom;Copper Fill386
179;;TO220 [THT];24.8762;-68.4953;90;Bottom;Q8
180;;;66.929;-58.4075;0;Bottom;Copper Fill403
181;;;94.4907;-24.4428;-90;Bottom;TXT4
182;;;12.6873;-29.2864;0;Bottom;Copper Fill445
183;;;24.2316;-65.9767;0;Bottom;Copper Fill470
184;100k;0805 [SMD];34.1472;-91.9177;-90;Top;R10
185;;;70.2945;-34.4426;0;Bottom;Copper Fill512
186;;;47.8028;-29.2102;0;Bottom;Copper Fill47
187;;;25.8953;-76.9114;0;Bottom;Copper Fill185
188;;;49.9872;-14.3766;0;Bottom;Copper Fill62
189;1k;0805 [SMD];80.2572;-13.5677;180;Top;R39
190;;;21.1328;-33.2488;0;Bottom;Copper Fill40
191;;;34.4297;-20.1932;0;Bottom;Copper Fill509
192;;0805 [SMD];36.2698;-47.8578;0;Top;LED3
193;;;71.2216;-90.7163;0;Bottom;Copper Fill216
194;;;23.1902;-14.2623;0;Bottom;Copper Fill157
195;;0805 [SMD];6.76962;-35.4752;180;Top;LED8
196;;;2.3749;-81.1024;0;Bottom;Copper Fill370
197;;;97.3009;-93.9987;0;Bottom;TXT9
198;;;21.082;-85.5347;0;Bottom;Copper Fill459
199;470;0805 [SMD];66.7771;-31.8877;180;Top;R8
200;1k;0805 [SMD];72.8822;-32.8627;-90;Top;R21
201;;;21.1328;-43.4088;0;Bottom;Copper Fill272
202;;;94.7928;-43.4088;0;Bottom;Copper Fill273
203;;;3.34982;-75.7976;0;Bottom;Hole4
204;;TO220 [THT];24.6222;-83.9712;180;Bottom;Q1
205;2.2;0805 [SMD];41.0323;-52.6202;0;Top;R67
206;;;84.0994;-91.3259;0;Bottom;Copper Fill538
207;;;94.7928;-73.8888;0;Bottom;Copper Fill239
208;;;94.7928;-68.8088;0;Bottom;Copper Fill244
209;;;68.2244;-13.9575;0;Bottom;Copper Fill195
210;;;94.7928;-68.8088;0;Bottom;Copper Fill12
211;;;62.6745;-88.062;0;Bottom;Copper Fill205
212;;;29.0449;-18.8724;0;Bottom;Copper Fill366
213;;;1.8796;-56.7819;0;Bottom;Copper Fill384
214;100 nF;0805 [SMD, multilayer];68.1197;-19.5277;-90;Top;C28
215;100k;0805 [SMD];28.1147;-67.1527;-90;Top;R49
216;;;10.3632;-4.877;0;Bottom;Copper Fill83
217;;;53.8321;-8.80535;0;Bottom;Via181
218;;;59.4741;-65.8624;0;Bottom;Copper Fill343
219;;TO220 [THT];42.0212;-68.4953;90;Bottom;Q7
220;;;70.2945;-89.7892;0;Bottom;Copper Fill535
